Assay_Type	BioSample	Experiment	LibrarySelection	LibrarySource	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	biological_replica	dev_stage	sample_type	temp	tissue	AvgSpotLen	BioProject	BioSampleModel	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	ecotype	geo_loc_name
OTHER	SAMN07645390	SRX3189258	size fractionation	OTHER	Flower_15_1_PARE	653	471	SRR6041069	SRS2516586	Flower_15_1	1	Flowering plant	tissue sample	15	Flower	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
OTHER	SAMN07645391	SRX3189257	size fractionation	OTHER	Flower_15_2_PARE	264	189	SRR6041070	SRS2516587	Flower_15_2	2	Flowering plant	tissue sample	15	Flower	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
OTHER	SAMN07645392	SRX3189256	size fractionation	OTHER	Flower_21_1_PARE	601	431	SRR6041071	SRS2516588	Flower_21_1	1	Flowering plant	tissue sample	21	Flower	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
OTHER	SAMN07645393	SRX3189255	size fractionation	OTHER	Flower_21_2_PARE	565	420	SRR6041072	SRS2516589	Flower_21_2	2	Flowering plant	tissue sample	21	Flower	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
miRNA-Seq	SAMN07645410	SRX3189254	size fractionation	OTHER	Seedling_21_1_sRNA	459	316	SRR6041073	SRS2516590	Seedling_21_1	1	Seedling	whole organism	21	Seedling	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
miRNA-Seq	SAMN07645411	SRX3189253	size fractionation	OTHER	Seedling_21_2_sRNA	780	520	SRR6041074	SRS2516592	Seedling_21_2	2	Seedling	whole organism	21	Seedling	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
miRNA-Seq	SAMN07645412	SRX3189252	size fractionation	OTHER	Seedling_27_1_sRNA	767	536	SRR6041075	SRS2516591	Seedling_27_1	1	Seedling	whole organism	27	Seedling	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
miRNA-Seq	SAMN07645413	SRX3189251	size fractionation	OTHER	Seedling_27_2_sRNA	479	315	SRR6041076	SRS2516593	Seedling_27_2	2	Seedling	whole organism	27	Seedling	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
OTHER	SAMN07645412	SRX3189250	size fractionation	OTHER	Seedling_27_1_PARE	276	198	SRR6041077	SRS2516591	Seedling_27_1	1	Seedling	whole organism	27	Seedling	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
OTHER	SAMN07645413	SRX3189249	size fractionation	OTHER	Seedling_27_2_PARE	322	239	SRR6041078	SRS2516593	Seedling_27_2	2	Seedling	whole organism	27	Seedling	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
